period,period_start,period_end,level,id,title,repos,merged_prs,noise_prs,integration_prs,ticket_count,dev_time_median_h,dev_time_p85_h,queue_median_h,queue_p85_h,queue_samples,tickets_reached_main_pct,tickets_via_team,tickets_on_main,tickets_multi_repo,multi_repo_pct,unjoined_ticket_pct,cycle_time_median_h,cycle_time_p85_h,cycle_time_samples,cycle_to_team_median_h,cycle_to_team_p85_h,cycle_to_team_samples,cycle_to_main_median_h,cycle_to_main_p85_h,cycle_to_main_samples,direct_to_main_pct,delivery_model,trunk_based_repos,time_to_main_median_h,time_to_main_p85_h,time_to_main_samples,time_to_main_coverage_pct,reached_main_pct,in_flight_changes,in_flight_pct,in_flight_median_age_h,in_flight_p85_age_h,on_main_undated,branch_deleted,time_to_main_unknown,lead_time_median_d,lead_time_p85_d,release_wait_median_d,shipped_changes,lead_samples,shipped_estimated_dates,shipped_untraceable,change_failure_rate_pct,corrective_changes,deployments,failed_deployments,cfr_source,defect_escape_rate_pct,escaped_defects,caught_defects,der_source,generated_at
2026-03,2026-03-01,2026-04-01,product,case-document-knowledge-system,Case Document Knowledge,3,18,0,1,16,8.2,239.9,,,0,,0,0,0,0.0,56.2,8.2,179.8,18,,,0,8.2,179.8,18,100.0,mixed,1,8.2,179.8,18,100.0,100.0,0,0.0,,,0,0,0,78.0,78.0,5.3,1,1,0,0,11.1,2,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,case-management-system,Case Management System,17,136,10,36,101,43.4,528.8,,,0,5.0,80,4,18,17.8,29.7,2.5,135.5,136,2.1,109.1,107,19.9,353.3,29,21.3,mixed,2,19.9,353.3,29,21.3,25.0,102,75.0,4257.2,4409.5,5,0,0,28.8,70.0,12.0,34,21,0,13,5.9,8,,,github-corrective-prs,,0,4,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,cpci,Common Platform Civil Interface (CPCI),1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,23.1,1,0,0,1,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,cppi,Common Platform Prosecutor Interface (CPPI),1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,23.1,1,0,0,1,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,cp-user-interface,Common Platform User Interface,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,team-branch,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,document-generation-system,Document Generation System,1,33,0,4,27,27.2,366.3,,,0,3.8,26,1,7,25.9,7.4,18.7,251.8,33,15.8,218.1,30,243.3,694.5,3,9.1,team-branch,0,243.3,694.5,3,9.1,12.1,29,87.9,4225.7,4531.9,1,0,0,17.4,17.4,23.1,3,1,0,2,0.0,0,,,github-corrective-prs,,0,1,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,document-ingestion-system,Document Ingestion System,3,2,0,0,2,72.3,120.7,,,0,0.0,2,0,1,50.0,0.0,2.7,3.1,2,2.7,3.1,2,,,0,0.0,team-branch,0,,,0,0.0,0.0,2,100.0,4065.3,4159.3,0,0,0,41.2,41.2,23.1,2,1,0,1,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,file-service-system,File Service,1,0,0,0,0,,,,,0,,0,0,0,,,,,0,,,0,,,0,,unclassified,0,,,0,,,0,,,,0,0,0,,,,0,0,0,0,,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,hearing-system,Hearing System,5,15,1,9,12,17.3,581.0,,,0,0.0,11,0,8,66.7,25.0,0.7,3.1,15,0.7,1.4,14,3.3,3.3,1,6.7,team-branch,0,3.3,3.3,1,6.7,6.7,14,93.3,4179.6,4391.7,0,0,0,37.3,65.7,12.2,8,5,0,3,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
2026-03,2026-03-01,2026-04-01,product,id-mapper-system,Id Mapper System,1,2,0,0,2,1906.1,2869.0,,,0,0.0,1,0,1,50.0,50.0,1641.2,2789.5,2,0.6,0.6,1,3281.7,3281.7,1,50.0,team-branch,0,3281.7,3281.7,1,50.0,50.0,1,50.0,4296.4,4296.4,0,0,0,151.1,154.6,21.2,4,2,0,2,0.0,0,,,github-corrective-prs,,0,0,unavailable (no GitHub issues — needs Jira),2026-09-04T13:24:57Z
